Field=#~Integer~#~50|Field=Designator~String~Designator~110|Field=Comment~String~Comment~98|Field=Description~String~Description~98|Field=Footprint~String~Footprint~98|Field=LibRef~String~LibRef~98|Field=Quantity~Integer~Quantity~98|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~elektronicy-p-lodz-pl-A-2018.PrjPCB|ReportField=ProjectFullPath~E:\Dropbox\_PRACA\HARDWARE\elektronicy-p-lodz-pl-A-2018\elektronicy-p-lodz-pl-A-2018.PrjPCB|ReportField=Title~BOM For Project [elektronicy-p-lodz-pl-A-2018.PrjPCB] (No PCB Document Selected)|ReportField=ReportTime~13:40:37|ReportField=ReportDate~30.05.2018|ReportField=ReportDateTime~30.05.2018 13:40:37|ReportField=OutputName~BOM|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~21|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~f7e65fed7606e70533b8cb3b0a444c3050235275|ReportField=~|ReportField=ProjectTitle~elektronicy-p-lodz-pl-A-2018|ReportField=ProjectSheetTotal~1|ReportField=ProjectRevision~1.0|ReportField=ProjectDrawnBy~PP|ReportField=ProjectCheckedBy~LR, MK, PP, ZK|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=Contact~datasystem.pl|ReportField=CurrentDate~30.05.2018|ReportField=CurrentTime~13:04:53|ReportField=Date~|ReportField=DocumentFullPathAndName~E:\Dropbox\_PRACA\HARDWARE\elektronicy-p-lodz-pl-A-2018\main.SchDoc|ReportField=DocumentName~main.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~30.05.2018|ReportField=Organization~|ReportField=ProjectName~elektronicy-p-lodz-pl-A-2018.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~1|ReportField=Size~A4|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~elektronicy-p-lodz-pl-A-2018.PrjPCB|ReportField=DataSourceFullPath~E:\Dropbox\_PRACA\HARDWARE\elektronicy-p-lodz-pl-A-2018\elektronicy-p-lodz-pl-A-2018.PrjPCB|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|C1, C2|10u/25V|Capacitor|C1206|Cap|2
2|C3, C4|10u/25V|Polarized Capacitor|CE5x11-2|Cap Pol|2
3|CN1|CN_2x1||GP_2x1|CN_2x1|1
4|D1, D2|RED|RED LED|LED1206R|LED_RED|2
5|D3, D4|LED|Typical RED, GREEN, YELLOW, AMBER GaAs LED|LED-Polarized|LED|2
6|Q1, Q2|BC847B|NPN General Purpose Transistor (VCE=45V, IC=100mA, HFE=200-450)|SOT-23|BC847B|2
7|Q3, Q4|BC547|NPN General Purpose Transistor (VCE=45V, IC=100mA)|TO-92A|BC547|2
8|R1, R2|68k|Resistor|R1206|Res|2
9|R3, R4|1k|Resistor|R1206|Res|2
10|R5, R6|68k|Resistor|RES10.35-6.8X2.8|Res|2
11|R7, R8|1k|Resistor|RES10.35-6.8X2.8|Res|2
